song,lyric,pitch,relative_pitch,consonant,vowel,special
02,ど,61,-1.0,d,o,None
03,い,71,5.0,None,i,None
03,ま,71,5.0,m,a,None
03,よ,69,3.0,y,o,None
03,り,67,1.0,r,i,None
03,も,69,3.0,m,o,None
03,つ,67,1.0,ts,u,None
03,よ,67,1.0,y,o,None
03,く,66,0.0,k,u,None
03,な,67,1.0,n,a,None
03,り,66,0.0,r,i,None
03,た,64,-2.0,t,a,None
03,い,62,-4.0,None,i,None
03,た,64,-2.0,t,a,None
03,だ,66,0.0,d,a,None
03,ひ,67,1.0,h,i,None
03,と,71,5.0,t,o,None
03,つ,66,0.0,ts,u,None
03,の,71,5.0,n,o,None
03,ね,71,5.0,n,e,None
03,が,69,3.0,g,a,None
03,い,69,3.0,None,i,None
03,む,67,1.0,m,u,None
03,ね,67,1.0,n,e,None
03,に,69,3.0,n,i,None
03,さ,67,1.0,s,a,None
03,く,66,0.0,k,u,None
03,ほ,66,0.0,h,o,None
03,の,64,-2.0,n,o,None
03,お,64,-2.0,None,o,None
03,な,59,-7.0,n,a,None
03,に,60,-6.0,n,i,None
03,も,62,-4.0,m,o,None
03,で,62,-4.0,d,e,None
03,き,62,-4.0,k,i,None
03,な,60,-6.0,n,a,None
03,か,59,-7.0,k,a,None
03,っ,57,-9.0,None,None,cl
03,た,57,-9.0,t,a,None
03,ひ,59,-7.0,h,i,None
03,に,59,-7.0,n,i,None
03,む,59,-7.0,m,u,None
03,ね,60,-6.0,n,e,None
03,の,62,-4.0,n,o,None
03,ち,62,-4.0,ch,i,None
03,か,62,-4.0,k,a,None
03,い,60,-6.0,None,i,None
03,わ,59,-7.0,w,a,None
03,う,57,-9.0,None,u,None
03,ま,57,-9.0,m,a,None
03,れ,59,-7.0,r,e,None
03,た,59,-7.0,t,a,None
03,け,59,-7.0,k,e,None
03,し,60,-6.0,sh,i,None
03,て,62,-4.0,t,e,None
03,も,62,-4.0,m,o,None
03,お,62,-4.0,None,o,None
03,に,60,-6.0,n,i,None
03,げ,59,-7.0,g,e,None
03,だ,60,-6.0,d,a,None
03,さ,62,-4.0,s,a,None
03,な,67,1.0,n,a,None
03,い,66,0.0,None,i,None
03,と,62,-4.0,t,o,None
03,た,62,-4.0,t,a,None
03,だ,62,-4.0,d,a,None
03,ひ,59,-7.0,h,i,None
03,た,60,-6.0,t,a,None
03,す,62,-4.0,s,u,None
03,ら,64,-2.0,r,a,None
03,ま,64,-2.0,m,a,None
03,え,64,-2.0,None,e,None
03,お,63,-3.0,None,o,None
03,む,63,-3.0,m,u,None
03,く,64,-2.0,k,u,None
03,と,66,0.0,t,o,None
03,き,64,-2.0,k,i,None
03,ず,64,-2.0,z,u,None
03,つ,64,-2.0,ts,u,None
03,き,64,-2.0,k,i,None
03,た,64,-2.0,t,a,None
03,お,62,-4.0,None,o,None
03,れ,60,-6.0,r,e,None
03,ま,66,0.0,m,a,None
03,た,66,0.0,t,a,None
03,た,66,0.0,t,a,None
03,ち,66,0.0,ch,i,None
03,あ,66,0.0,None,a,None
03,が,64,-2.0,g,a,None
03,る,62,-4.0,r,u,None
03,あ,66,0.0,None,a,None
03,き,64,-2.0,k,i,None
03,ら,66,0.0,r,a,None
03,め,64,-2.0,m,e,None
03,な,66,0.0,n,a,None
03,ど,67,1.0,d,o,None
03,し,69,3.0,sh,i,None
03,ら,69,3.0,r,a,None
03,ぬ,69,3.0,n,u,None
03,も,67,1.0,m,o,None
03,の,66,0.0,n,o,None
03,に,67,1.0,n,i,None
03,は,67,1.0,w,a,None
03,る,69,3.0,r,u,None
03,わ,71,5.0,w,a,None
03,な,67,1.0,n,a,None
03,ん,67,1.0,None,None,N
03,ど,69,3.0,d,o,None
03,で,67,1.0,d,e,None
03,も,71,5.0,m,o,None
03,こ,64,-2.0,k,o,None
03,の,66,0.0,n,o,None
03,さ,67,1.0,s,a,None
03,き,71,5.0,k,i,None
03,に,66,0.0,n,i,None
03,な,71,5.0,n,a,None
03,に,71,5.0,n,i,None
03,が,69,3.0,g,a,None
03,あ,67,1.0,None,a,None
03,る,69,3.0,r,u,None
03,み,67,1.0,m,i,None
03,え,67,1.0,None,e,None
03,な,66,0.0,n,a,None
03,く,67,1.0,k,u,None
03,て,66,0.0,t,e,None
03,い,64,-2.0,None,i,None
03,い,62,-4.0,None,i,None
03,い,64,-2.0,None,i,None
03,ち,66,0.0,ch,i,None
03,ず,67,1.0,z,u,None
03,な,71,5.0,n,a,None
03,ま,66,0.0,m,a,None
03,な,71,5.0,n,a,None
03,ざ,71,5.0,z,a,None
03,し,69,3.0,sh,i,None
03,が,69,3.0,g,a,None
03,ほ,67,1.0,h,o,None
03,の,67,1.0,n,o,None
03,お,69,3.0,None,o,None
03,お,67,1.0,None,o,None
03,と,66,0.0,t,o,None
03,も,66,0.0,m,o,None
03,す,64,-2.0,s,u,None
03,よ,64,-2.0,y,o,None
04,あ,68,0.0,None,a,None
04,い,69,1.0,None,i,None
04,ど,71,3.0,d,o,None
04,ろ,68,0.0,r,o,None
04,い,69,1.0,None,i,None
04,ど,71,3.0,d,o,None
04,や,68,0.0,y,a,None
04,け,74,6.0,k,e,None
04,に,73,5.0,n,i,None
04,ま,68,0.0,m,a,None
04,じ,71,3.0,j,i,None
04,っ,71,3.0,j,i,None
04,ぽ,69,1.0,p,o,None
04,い,68,0.0,None,i,None
04,ぞ,69,1.0,z,o,None
04,し,69,1.0,sh,i,None
04,め,69,1.0,m,e,None
04,き,69,1.0,k,i,None
04,り,69,1.0,r,i,None
04,は,69,1.0,w,a,None
04,り,69,1.0,r,i,None
04,き,69,1.0,k,i,None
04,り,69,1.0,r,i,None
04,ほ,68,0.0,h,o,None
04,お,68,0.0,None,o,None
04,て,71,3.0,t,e,None
04,い,71,3.0,t,e,None
04,し,68,0.0,sh,i,None
04,き,66,-2.0,k,i,None
04,そ,68,0.0,s,o,None
04,う,68,0.0,s,o,None
04,や,69,1.0,y,a,None
04,っ,69,1.0,y,a,None
04,ぱ,68,0.0,p,a,None
04,ふ,69,1.0,f,u,None
04,し,68,0.0,sh,i,None
04,ぎ,66,-2.0,g,i,None
04,へ,64,-4.0,None,e,None
04,こ,73,5.0,k,o,None
04,ん,71,3.0,None,None,N
04,で,69,1.0,d,e,None
04,も,68,0.0,m,o,None
04,そ,68,0.0,s,o,None
04,く,66,-2.0,k,u,None
04,は,69,1.0,w,a,None
04,っ,69,1.0,w,a,None
04,ぴ,68,0.0,p,i,None
04,だ,63,-5.0,d,a,None
04,め,71,3.0,m,e,None
04,も,69,1.0,m,o,None
04,と,68,0.0,t,o,None
04,で,66,-2.0,d,e,None
04,け,68,0.0,k,e,None
04,っ,68,0.0,k,e,None
04,か,69,1.0,k,a,None
04,ら,71,3.0,r,a,None
04,っ,71,3.0,r,a,None
04,き,73,5.0,k,i,None
04,あ,64,-4.0,None,a,None
04,な,66,-2.0,n,a,None
04,た,68,0.0,t,a,None
04,の,66,-2.0,n,o,None
04,た,68,0.0,t,a,None
04,め,69,1.0,m,e,None
04,の,71,3.0,n,o,None
04,わ,69,1.0,w,a,None
04,た,68,0.0,t,a,None
04,し,69,1.0,sh,i,None
04,あ,68,0.0,None,a,None
04,い,69,1.0,None,i,None
04,ど,71,3.0,d,o,None
04,ろ,68,0.0,r,o,None
04,い,68,0.0,r,o,None
04,ど,64,-4.0,d,o,None
04,み,68,0.0,m,i,None
04,ぎ,68,0.0,g,i,None
04,あ,66,-2.0,None,a,None
04,げ,69,1.0,g,e,None
04,て,68,0.0,t,e,None
04,ひ,68,0.0,h,i,None
04,だ,68,0.0,d,a,None
04,り,66,-2.0,r,i,None
04,あ,69,1.0,None,a,None
04,げ,68,0.0,g,e,None
04,て,66,-2.0,t,e,None
04,み,68,0.0,m,i,None
04,ぎ,68,0.0,g,i,None
04,さ,66,-2.0,s,a,None
04,げ,69,1.0,g,e,None
04,て,68,0.0,t,e,None
04,ひ,68,0.0,h,i,None
04,だ,68,0.0,d,a,None
04,り,66,-2.0,r,i,None
04,さ,69,1.0,s,a,None
04,げ,68,0.0,g,e,None
04,な,66,-2.0,n,a,None
04,い,66,-2.0,n,a,None
04,き,61,-7.0,k,i,None
04,ど,61,-7.0,d,o,None
04,う,61,-7.0,d,o,None
04,か,61,-7.0,k,a,None
04,ん,61,-7.0,k,a,None
04,りょ,61,-7.0,ry,o,None
04,う,61,-7.0,ry,o,None
04,あ,61,-7.0,None,a,None
04,な,64,-4.0,n,a,None
04,た,63,-5.0,t,a,None
04,わ,61,-7.0,w,a,None
04,だ,59,-9.0,d,a,None
04,あ,56,-12.0,None,a,None
04,れ,61,-7.0,r,e,None
04,さ,59,-9.0,s,a,None
04,あ,56,-12.0,None,a,None
04,ね,61,-7.0,n,e,None
04,ふ,61,-7.0,f,u,None
04,し,61,-7.0,sh,i,None
04,も,61,-7.0,m,o,None
04,ん,61,-7.0,m,o,None
04,に,61,-7.0,n,i,None
04,ん,61,-7.0,n,i,None
04,しょ,61,-7.0,sh,o,None
04,う,61,-7.0,sh,o,None
04,ふ,68,0.0,f,u,None
04,れ,66,-2.0,r,e,None
04,ら,64,-4.0,r,a,None
04,れ,63,-5.0,r,e,None
04,た,59,-9.0,t,a,None
04,ら,61,-7.0,r,a,None
04,ど,64,-4.0,d,o,None
04,き,61,-7.0,k,i,None
04,ど,68,0.0,d,o,None
04,き,61,-7.0,k,i,None
04,き,61,-7.0,k,i,None
04,ほ,61,-7.0,h,o,None
04,ん,61,-7.0,h,o,None
04,せ,61,-7.0,s,e,None
04,っ,61,-7.0,s,e,None
04,て,61,-7.0,t,e,None
04,い,61,-7.0,t,e,None
04,ご,61,-7.0,g,o,None
04,よ,64,-4.0,y,o,None
04,う,63,-5.0,None,u,None
04,わ,61,-7.0,w,a,None
04,な,59,-9.0,n,a,None
04,あ,56,-12.0,None,a,None
04,に,61,-7.0,n,i,None
04,だ,59,-9.0,d,a,None
04,あ,56,-12.0,None,a,None
04,り,61,-7.0,r,i,None
04,ん,61,-7.0,r,i,None
04,に,61,-7.0,n,i,None
04,ん,61,-7.0,n,i,None
04,む,61,-7.0,m,u,None
04,す,61,-7.0,s,u,None
04,い,61,-7.0,s,u,None
04,こ,61,-7.0,k,o,None
04,う,61,-7.0,k,o,None
04,の,68,0.0,n,o,None
04,ぞ,66,-2.0,z,o,None
04,む,64,-4.0,m,u,None
04,ま,63,-5.0,m,a,None
04,ま,59,-9.0,m,a,None
04,に,61,-7.0,n,i,None
04,お,64,-4.0,None,o,None
04,き,61,-7.0,k,i,None
04,ど,68,0.0,d,o,None
04,き,61,-7.0,k,i,None
04,ぶ,68,0.0,b,u,None
04,れ,68,0.0,r,e,None
04,ざ,64,-4.0,z,a,None
04,お,68,0.0,None,o,None
04,あ,68,0.0,None,a,None
04,せ,64,-4.0,s,e,None
04,え,68,0.0,None,e,None
04,ら,68,0.0,r,a,None
04,あ,66,-2.0,None,a,None
04,ふ,69,1.0,f,u,None
04,く,68,0.0,k,u,None
04,あ,66,-2.0,None,a,None
04,わ,66,-2.0,w,a,None
04,せ,63,-5.0,s,e,None
04,る,66,-2.0,r,u,None
04,な,66,-2.0,n,a,None
04,ら,63,-5.0,r,a,None
04,は,66,-2.0,w,a,None
04,い,66,-2.0,w,a,None
04,そ,66,-2.0,s,o,None
04,お,69,1.0,None,o,None
04,あ,69,1.0,None,a,None
04,に,68,0.0,n,i,None
04,そ,66,-2.0,s,o,None
04,ど,68,0.0,d,o,None
04,っ,68,0.0,d,o,None
04,ち,64,-4.0,ch,i,None
04,こ,68,0.0,k,o,None
04,っ,68,0.0,k,o,None
04,ち,64,-4.0,ch,i,None
04,ゆ,71,3.0,y,u,None
04,う,69,1.0,None,u,None
04,じゅ,68,0.0,j,u,None
04,う,66,-2.0,None,u,None
04,ふ,66,-2.0,f,u,None
04,だ,64,-4.0,d,a,None
04,ん,64,-4.0,d,a,None
04,で,66,-2.0,d,e,None
04,も,64,-4.0,m,o,None
04,い,68,0.0,None,i,None
04,じゃ,66,-2.0,j,a,None
04,ん,66,-2.0,j,a,None
04,あ,68,0.0,None,a,None
04,い,69,1.0,None,i,None
04,ど,71,3.0,d,o,None
04,ろ,68,0.0,r,o,None
04,い,69,1.0,None,i,None
04,ど,71,3.0,d,o,None
04,な,68,0.0,n,a,None
04,ん,74,6.0,None,None,N
04,か,73,5.0,k,a,None
04,ら,68,0.0,r,a,None
04,ぶ,71,3.0,b,u,None
04,っ,71,3.0,b,u,None
04,ぽ,69,1.0,p,o,None
04,い,68,0.0,None,i,None
04,ぞ,69,1.0,z,o,None
04,と,69,1.0,t,o,None
04,び,69,1.0,b,i,None
04,き,69,1.0,k,i,None
04,り,69,1.0,r,i,None
04,ゆ,69,1.0,y,u,None
04,び,69,1.0,b,i,None
04,き,69,1.0,k,i,None
04,り,69,1.0,r,i,None
04,ふ,68,0.0,f,u,None
04,た,68,0.0,t,a,None
04,り,71,3.0,r,i,None
04,き,68,0.0,k,i,None
04,り,66,-2.0,r,i,None
04,も,68,0.0,m,o,None
04,こ,69,1.0,k,o,None
04,れ,68,0.0,r,e,None
04,っ,69,1.0,None,None,cl
04,き,68,0.0,k,i,None
04,り,66,-2.0,r,i,None
04,あ,68,0.0,None,a,None
04,い,69,1.0,None,i,None
04,も,71,3.0,m,o,None
04,こ,68,0.0,k,o,None
04,い,69,1.0,None,i,None
04,も,71,3.0,m,o,None
04,そ,68,0.0,s,o,None
04,の,74,6.0,n,o,None
04,さ,73,5.0,s,a,None
04,き,68,0.0,k,i,None
04,も,71,3.0,m,o,None
04,も,69,1.0,m,o,None
04,っ,68,0.0,None,None,cl
04,と,69,1.0,t,o,None
04,な,69,1.0,n,a,None
04,ん,69,1.0,None,None,N
04,で,69,1.0,d,e,None
04,も,69,1.0,m,o,None
04,か,69,1.0,k,a,None
04,ん,69,1.0,None,None,N
04,で,69,1.0,d,e,None
04,も,69,1.0,m,o,None
04,お,68,0.0,None,o,None
04,し,68,0.0,sh,i,None
04,え,71,3.0,None,e,None
04,て,68,0.0,t,e,None
04,よ,66,-2.0,y,o,None
04,ね,68,0.0,n,e,None
04,い,69,1.0,None,i,None
04,い,68,0.0,None,i,None
04,ん,69,1.0,None,None,N
04,で,68,0.0,d,e,None
04,しょ,66,-2.0,sh,o,None
04,な,64,-4.0,n,a,None
04,や,73,5.0,y,a,None
04,ん,71,3.0,None,None,N
04,で,69,1.0,d,e,None
04,も,68,0.0,m,o,None
04,そ,68,0.0,s,o,None
04,く,66,-2.0,k,u,None
04,ど,69,1.0,d,o,None
04,ん,69,1.0,d,o,None
04,ま,68,0.0,m,a,None
04,い,68,0.0,m,a,None
04,し,63,-5.0,sh,i,None
04,っ,63,-5.0,sh,i,None
04,ぱ,71,3.0,p,a,None
04,い,71,3.0,p,a,None
04,し,69,1.0,sh,i,None
04,て,68,0.0,t,e,None
04,も,66,-2.0,m,o,None
04,け,68,0.0,k,e,None
04,っ,68,0.0,k,e,None
