song,lyric,dur,BPM,consonant,vowel,special
1,い,1.5,152,None,i,None
1,わ,1.0,152,w,a,None
1,い,1.0,152,None,i,None
1,ろ,1.5,152,r,o,None
1,お,1.5,152,None,o,None
1,つ,1.0,152,ts,u,None
1,け,1.5,152,k,e,None
1,る,3.0,152,r,u,None
1,そ,1.0,152,s,o,None
1,の,0.5,152,n,o,None
1,ほ,0.5,152,h,o,None
1,ほ,1.0,152,h,o,None
1,え,0.5,152,None,e,None
1,み,0.5,152,m,i,None
1,が,1.0,152,g,a,None
1,あ,0.5,152,None,a,None
1,る,0.5,152,r,u,None
1,の,1.0,152,n,o,None
1,な,0.5,152,n,a,None
1,ら,1.0,152,r,a,None
1,ひ,0.5,152,h,i,None
1,と,0.5,152,t,o,None
1,り,1.0,152,r,i,None
1,き,1.0,152,k,i,None
1,り,1.0,152,r,i,None
1,じゃ,0.5,152,j,a,None
1,な,0.75,152,n,a,None
1,い,0.75,152,None,i,None
1,よ,2.0,152,y,o,None
1,ど,1.5,152,d,o,None
1,こ,1.5,152,k,o,None
1,ま,1.0,152,m,a,None
1,で,1.5,152,d,e,None
1,も,1.5,152,m,o,None
1,ま,1.0,152,m,a,None
1,も,2.0,152,m,o,None
1,り,2.0,152,r,i,None
1,た,2.0,152,t,a,None
1,い,3.5,152,None,i,None
1,き,0.5,152,k,i,None
1,っ,0.5,152,None,None,cl
1,と,7.0,152,t,o,None
1,と,0.5,152,t,o,None
1,べ,0.5,152,b,e,None
1,ば,1.0,152,b,a,None
1,そ,1.0,152,s,o,None
1,ら,0.5,152,r,a,None
1,ま,0.5,152,m,a,None
1,で,1.0,152,d,e,None
1,と,0.5,152,t,o,None
1,ど,0.5,152,d,o,None
1,く,1.5,152,k,u,None
1,お,1.0,152,None,o,None
1,お,0.5,152,None,o,None
1,き,0.5,152,k,i,None
1,な,1.0,152,n,a,None
1,こ,0.5,152,k,o,None
1,の,0.5,152,n,o,None
1,せ,1.0,152,s,e,None
1,え,0.5,152,None,e,None
1,か,0.5,152,k,a,None
1,い,1.0,152,None,i,None
1,い,0.5,152,None,i,None
1,ま,0.5,152,m,a,None
1,き,1.5,152,k,i,None
1,み,0.5,152,m,i,None
1,の,1.5,152,n,o,None
1,も,0.5,152,m,o,None
1,の,3.0,152,n,o,None
1,ゆ,0.5,152,y,u,None
1,れ,0.5,152,r,e,None
1,て,7.0,152,t,e,None
1,か,0.5,152,k,a,None
1,わ,0.5,152,w,a,None
1,る,1.0,152,r,u,None
1,す,1.0,152,s,u,None
1,が,0.5,152,g,a,None
1,た,0.5,152,t,a,None
1,み,1.0,152,m,i,None
1,せ,0.5,152,s,e,None
1,た,0.5,152,t,a,None
1,い,1.0,152,None,i,None
1,お,1.0,152,None,o,None
1,べ,0.5,152,b,e,None
1,い,0.5,152,None,i,None
1,び,1.0,152,b,i,None
1,べ,0.5,152,b,e,None
1,い,0.5,152,None,i,None
1,び,1.0,152,b,i,None
1,み,1.0,152,m,i,None
1,ご,2.0,152,g,o,None
2,き,0.5,129,k,i,None
2,え,1.0,129,None,e,None
2,る,1.0,129,r,u,None
2,こ,1.0,129,k,o,None
2,と,1.0,129,t,o,None
2,の,1.5,129,n,o,None
2,な,0.5,129,n,a,None
2,い,3.5,129,None,i,None
2,ゆ,1.0,129,y,u,None
2,め,1.0,129,m,e,None
2,が,1.0,129,g,a,None
2,あ,0.5,129,None,a,None
2,る,0.5,129,r,u,None
2,こ,1.0,129,k,o,None
2,と,1.0,129,t,o,None
2,し,1.0,129,sh,i,None
2,ん,1.0,129,None,None,N
2,じ,1.0,129,j,i,None
2,て,1.0,129,t,e,None
2,い,0.5,129,None,i,None
2,る,3.0,129,r,u,None
2,い,1.0,129,None,i,None
2,つ,0.5,129,ts,u,None
2,ま,0.5,129,m,a,None
2,で,0.5,129,d,e,None
2,も,5.5,129,m,o,None
2,ろ,1.5,129,r,o,None
2,お,0.5,129,None,o,None
2,ふぁ,1.5,129,f,a,None
2,な,0.5,129,n,a,None
2,ら,1.5,129,r,a,None
2,し,0.5,129,sh,i,None
2,て,2.5,129,t,e,None
2,か,0.5,129,k,a,None
2,ぜ,0.5,129,z,e,None
2,お,0.5,129,None,o,None
2,お,0.5,129,None,o,None
2,い,0.5,129,None,i,None
2,こ,1.5,129,k,o,None
2,せ,0.5,129,s,e,None
2,ば,2.5,129,b,a,None
2,きゅ,1.0,129,ky,u,None
2,ん,0.5,129,None,None,N
2,と,0.5,129,t,o,None
2,つ,0.5,129,ts,u,None
2,め,1.5,129,m,e,None
2,た,0.5,129,t,a,None
2,い,1.0,129,None,i,None
2,あ,0.5,129,None,a,None
2,き,0.5,129,k,i,None
2,の,1.0,129,n,o,None
2,ゆ,0.5,129,y,u,None
2,う,1.0,129,None,u,None
2,ぐ,1.0,129,g,u,None
2,れ,3.5,129,r,e,None
2,あ,1.5,129,None,a,None
2,か,0.5,129,k,a,None
2,い,1.5,129,None,i,None
2,せ,0.5,129,s,e,None
2,ろ,1.5,129,r,o,None
2,ふぁ,0.5,129,f,a,None
2,ん,2.5,129,None,None,N
2,ら,0.5,129,r,a,None
2,む,0.5,129,m,u,None
2,ね,0.5,129,n,e,None
2,お,0.5,129,None,o,None
2,ひ,0.5,129,h,i,None
2,と,1.5,129,t,o,None
2,つ,0.5,129,ts,u,None
2,ぶ,2.5,129,b,u,None
2,く,1.0,129,k,u,None
2,ち,0.5,129,ch,i,None
2,に,0.5,129,n,i,None
2,い,0.5,129,None,i,None
2,れ,1.5,129,r,e,None
2,た,0.5,129,t,a,None
2,ら,1.0,129,r,a,None
2,た,0.5,129,t,a,None
2,ち,0.5,129,ch,i,None
2,ま,1.0,129,m,a,None
2,ち,0.5,129,ch,i,None
2,と,1.0,129,t,o,None
2,け,1.0,129,k,e,None
2,た,2.0,129,t,a,None
2,あ,1.0,129,None,a,None
2,と,0.5,129,t,o,None
2,な,0.5,129,n,a,None
2,ん,0.5,129,None,None,N
2,ど,1.0,129,d,o,None
2,こ,1.0,129,k,o,None
2,お,0.5,129,None,o,None
2,や,0.5,129,y,a,None
2,っ,0.5,129,None,None,cl
2,て,1.0,129,t,e,None
2,お,1.0,129,None,o,None
2,な,0.5,129,n,a,None
2,じ,0.5,129,j,i,None
2,ゆ,0.5,129,y,u,None
2,う,1.0,129,None,u,None
2,や,0.5,129,y,a,None
2,け,1.0,129,k,e,None
2,ぞ,0.5,129,z,o,None
2,ら,0.5,129,r,a,None
2,お,2.0,129,None,o,None
2,わ,1.0,129,w,a,None
2,け,1.0,129,k,e,None
2,あ,1.0,129,None,a,None
2,え,1.0,129,None,e,None
2,る,1.0,129,r,u,None
2,か,1.0,129,k,a,None
2,な,1.0,129,n,a,None
2,せ,1.0,129,s,e,None
2,つ,1.0,129,ts,u,None
2,な,1.5,129,n,a,None
2,い,0.5,129,None,i,None
2,よ,3.5,129,y,o,None
2,う,1.0,129,None,u,None
2,ま,1.0,129,m,a,None
2,れ,1.5,129,r,e,None
2,て,0.5,129,t,e,None
2,わ,1.0,129,w,a,None
2,き,0.5,129,k,i,None
2,え,1.0,129,None,e,None
2,る,1.0,129,r,u,None
2,あ,1.0,129,None,a,None
2,わ,1.0,129,w,a,None
2,の,1.5,129,n,o,None
2,よ,0.5,129,y,o,None
2,な,3.5,129,n,a,None
2,ひ,1.0,129,h,i,None
2,び,1.0,129,b,i,None
2,に,1.5,129,n,i,None
2,ま,0.5,129,m,a,None
2,よ,1.0,129,y,o,None
2,い,1.0,129,None,i,None
2,く,1.0,129,k,u,None
2,じ,1.0,129,j,i,None
2,け,1.0,129,k,e,None
2,そ,1.0,129,s,o,None
2,な,0.5,129,n,a,None
2,ひ,1.0,129,h,i,None
2,に,0.5,129,n,i,None
2,わ,2.5,129,w,a,None
2,す,1.0,129,s,u,None
2,こ,1.0,129,k,o,None
2,し,1.5,129,sh,i,None
2,ず,0.5,129,z,u,None
2,つ,1.0,129,ts,u,None
2,く,0.5,129,k,u,None
2,れ,1.0,129,r,e,None
2,て,1.0,129,t,e,None
2,ゆ,1.0,129,y,u,None
2,く,1.0,129,k,u,None
2,そ,1.5,129,s,o,None
2,ら,0.5,129,r,a,None
2,に,1.0,129,n,i,None
2,さ,0.5,129,s,a,None
2,く,2.0,129,k,u,None
2,い,1.0,129,None,i,None
2,ち,1.0,129,ch,i,None
2,ば,1.5,129,b,a,None
2,ん,0.5,129,None,None,N
2,ぼ,0.5,129,b,o,None
2,し,1.0,129,sh,i,None
2,に,1.0,129,n,i,None
2,つ,1.0,129,ts,u,None
2,よ,1.0,129,y,o,None
2,く,1.0,129,k,u,None
2,ね,1.0,129,n,e,None
2,が,0.5,129,g,a,None
2,う,4.0,129,None,u,None
2,ふぉ,1.0,129,f,o,None
2,え,0.5,129,None,e,None
2,ば,0.5,129,b,a,None
2,ど,0.5,129,d,o,None
3,い,1.0,98,None,i,None
3,ま,1.5,98,m,a,None
3,よ,0.25,98,y,o,None
3,り,0.25,98,r,i,None
3,も,2.0,98,m,o,None
3,つ,1.0,98,ts,u,None
3,よ,1.0,98,y,o,None
3,く,0.5,98,k,u,None
3,な,0.25,98,n,a,None
3,り,0.75,98,r,i,None
3,た,0.5,98,t,a,None
3,い,3.0,98,None,i,None
3,た,0.5,98,t,a,None
3,だ,0.5,98,d,a,None
3,ひ,1.0,98,h,i,None
3,と,1.0,98,t,o,None
3,つ,1.0,98,ts,u,None
3,の,1.0,98,n,o,None
3,ね,1.5,98,n,e,None
3,が,0.5,98,g,a,None
3,い,1.5,98,None,i,None
3,む,1.0,98,m,u,None
3,ね,1.0,98,n,e,None
3,に,0.75,98,n,i,None
3,さ,0.75,98,s,a,None
3,く,0.5,98,k,u,None
3,ほ,3.0,98,h,o,None
3,の,0.5,98,n,o,None
3,お,4.75,98,None,o,None
3,な,0.25,98,n,a,None
3,に,0.25,98,n,i,None
3,も,1.5,98,m,o,None
3,で,0.5,98,d,e,None
3,き,0.5,98,k,i,None
3,な,0.5,98,n,a,None
3,か,0.5,98,k,a,None
3,っ,0.5,98,None,None,cl
3,た,0.5,98,t,a,None
3,ひ,0.25,98,h,i,None
3,に,2.5,98,n,i,None
3,む,0.25,98,m,u,None
3,ね,0.25,98,n,e,None
3,の,1.5,98,n,o,None
3,ち,0.5,98,ch,i,None
3,か,0.5,98,k,a,None
3,い,0.5,98,None,i,None
3,わ,0.5,98,w,a,None
3,う,0.5,98,None,u,None
3,ま,0.5,98,m,a,None
3,れ,0.25,98,r,e,None
3,た,2.5,98,t,a,None
3,け,0.25,98,k,e,None
3,し,0.25,98,sh,i,None
3,て,1.5,98,t,e,None
3,も,0.5,98,m,o,None
3,お,0.5,98,None,o,None
3,に,0.5,98,n,i,None
3,げ,0.5,98,g,e,None
3,だ,0.5,98,d,a,None
3,さ,0.5,98,s,a,None
3,な,0.5,98,n,a,None
3,い,0.5,98,None,i,None
3,と,1.5,98,t,o,None
3,た,0.5,98,t,a,None
3,だ,0.5,98,d,a,None
3,ひ,0.5,98,h,i,None
3,た,0.5,98,t,a,None
3,す,0.5,98,s,u,None
3,ら,1.25,98,r,a,None
3,ま,0.5,98,m,a,None
3,え,0.5,98,None,e,None
3,お,0.5,98,None,o,None
3,む,0.5,98,m,u,None
3,く,0.5,98,k,u,None
3,と,2.75,98,t,o,None
3,き,0.25,98,k,i,None
3,ず,0.25,98,z,u,None
3,つ,0.25,98,ts,u,None
3,き,0.25,98,k,i,None
3,た,0.5,98,t,a,None
3,お,0.25,98,None,o,None
3,れ,2.0,98,r,e,None
3,ま,0.25,98,m,a,None
3,た,0.25,98,t,a,None
3,た,0.25,98,t,a,None
3,ち,0.25,98,ch,i,None
3,あ,0.5,98,None,a,None
3,が,0.25,98,g,a,None
3,る,2.0,98,r,u,None
3,あ,0.25,98,None,a,None
3,き,0.25,98,k,i,None
3,ら,0.25,98,r,a,None
3,め,0.25,98,m,e,None
3,な,0.5,98,n,a,None
3,ど,0.25,98,d,o,None
3,し,0.75,98,sh,i,None
3,ら,0.5,98,r,a,None
3,ぬ,0.5,98,n,u,None
3,も,0.5,98,m,o,None
3,の,0.5,98,n,o,None
3,に,1.0,98,n,i,None
3,は,0.5,98,w,a,None
3,る,0.5,98,r,u,None
3,わ,1.0,98,w,a,None
3,な,0.5,98,n,a,None
3,ん,0.5,98,None,None,N
3,ど,0.5,98,d,o,None
3,で,0.5,98,d,e,None
3,も,3.25,98,m,o,None
3,こ,0.5,98,k,o,None
3,の,0.5,98,n,o,None
3,さ,1.0,98,s,a,None
3,き,1.0,98,k,i,None
3,に,1.0,98,n,i,None
3,な,1.0,98,n,a,None
3,に,1.5,98,n,i,None
3,が,0.25,98,g,a,None
3,あ,0.25,98,None,a,None
3,る,1.5,98,r,u,None
3,み,1.0,98,m,i,None
3,え,1.0,98,None,e,None
3,な,0.5,98,n,a,None
3,く,0.25,98,k,u,None
3,て,0.75,98,t,e,None
3,い,0.5,98,None,i,None
3,い,2.5,98,None,i,None
3,い,0.5,98,None,i,None
3,ち,0.5,98,ch,i,None
3,ず,1.0,98,z,u,None
3,な,1.0,98,n,a,None
3,ま,1.0,98,m,a,None
3,な,1.0,98,n,a,None
3,ざ,1.25,98,z,a,None
3,し,0.5,98,sh,i,None
3,が,1.5,98,g,a,None
3,ほ,1.0,98,h,o,None
3,の,1.0,98,n,o,None
3,お,0.75,98,None,o,None
3,お,0.75,98,None,o,None
3,と,0.5,98,t,o,None
3,も,3.0,98,m,o,None
3,す,0.5,98,s,u,None
3,よ,4.75,98,y,o,None
4,あ,1.5,164,None,a,None
4,い,1.5,164,None,i,None
4,ど,1.0,164,d,o,None
4,ろ,1.5,164,r,o,None
4,い,1.5,164,None,i,None
4,ど,1.0,164,d,o,None
4,や,1.0,164,y,a,None
4,け,1.0,164,k,e,None
4,に,1.0,164,n,i,None
4,ま,1.0,164,m,a,None
4,じ,0.5,164,j,i,None
4,っ,0.5,164,None,None,cl
4,ぽ,0.5,164,p,o,None
4,い,0.5,164,None,i,None
4,ぞ,2.0,164,z,o,None
4,し,0.5,164,sh,i,None
4,め,0.5,164,m,e,None
4,き,0.5,164,k,i,None
4,り,0.5,164,r,i,None
4,は,0.5,164,w,a,None
4,り,0.5,164,r,i,None
4,き,0.5,164,k,i,None
4,り,0.5,164,r,i,None
4,ほ,1.0,164,h,o,None
4,お,0.5,164,None,o,None
4,て,0.75,164,t,e,None
4,い,0.75,164,None,i,None
4,し,1.0,164,sh,i,None
4,き,1.0,164,k,i,None
4,そ,0.75,164,s,o,None
4,う,0.75,164,None,u,None
4,や,0.5,164,y,a,None
4,っ,0.5,164,None,None,cl
4,ぱ,1.5,164,p,a,None
4,ふ,0.25,164,f,u,None
4,し,0.25,164,sh,i,None
4,ぎ,2.0,164,g,i,None
4,へ,1.0,164,None,e,None
4,こ,1.0,164,k,o,None
4,ん,0.5,164,None,None,N
4,で,0.5,164,d,e,None
4,も,0.5,164,m,o,None
4,そ,1.0,164,s,o,None
4,く,0.5,164,k,u,None
4,は,0.5,164,w,a,None
4,っ,0.5,164,None,None,cl
4,ぴ,1.0,164,p,i,None
4,だ,1.0,164,d,a,None
4,め,1.0,164,m,e,None
4,も,0.5,164,m,o,None
4,と,0.5,164,t,o,None
4,で,0.5,164,d,e,None
4,け,0.5,164,k,e,None
4,っ,0.5,164,None,None,cl
4,か,0.5,164,k,a,None
4,ら,0.5,164,r,a,None
4,っ,0.5,164,None,None,cl
4,き,1.0,164,k,i,None
4,あ,1.5,164,None,a,None
4,な,1.5,164,n,a,None
4,た,1.0,164,t,a,None
4,の,1.5,164,n,o,None
4,た,1.5,164,t,a,None
4,め,1.0,164,m,e,None
4,の,3.0,164,n,o,None
4,わ,0.5,164,w,a,None
4,た,0.5,164,t,a,None
4,し,0.5,164,sh,i,None
4,あ,0.5,164,None,a,None
4,い,1.0,164,None,i,None
4,ど,1.0,164,d,o,None
4,ろ,0.75,164,r,o,None
4,い,0.75,164,None,i,None
4,ど,4.5,164,d,o,None
4,み,0.5,164,m,i,None
4,ぎ,0.5,164,g,i,None
4,あ,0.5,164,None,a,None
4,げ,0.5,164,g,e,None
4,て,1.0,164,t,e,None
4,ひ,0.5,164,h,i,None
4,だ,0.5,164,d,a,None
4,り,0.5,164,r,i,None
4,あ,0.5,164,None,a,None
4,げ,1.0,164,g,e,None
4,て,1.0,164,t,e,None
4,み,0.5,164,m,i,None
4,ぎ,0.5,164,g,i,None
4,さ,0.5,164,s,a,None
4,げ,0.5,164,g,e,None
4,て,1.0,164,t,e,None
4,ひ,0.5,164,h,i,None
4,だ,0.5,164,d,a,None
4,り,0.5,164,r,i,None
4,さ,0.5,164,s,a,None
4,げ,1.0,164,g,e,None
4,な,0.5,164,n,a,None
4,い,0.5,164,None,i,None
4,き,0.5,164,k,i,None
4,ど,0.5,164,d,o,None
4,う,0.5,164,None,u,None
4,か,0.5,164,k,a,None
4,ん,0.5,164,None,None,N
4,りょ,0.5,164,ry,o,None
4,う,0.5,164,None,u,None
4,あ,0.5,164,None,a,None
4,な,0.5,164,n,a,None
4,た,0.5,164,t,a,None
4,わ,0.5,164,w,a,None
4,だ,1.0,164,d,a,None
4,あ,1.0,164,None,a,None
4,れ,2.0,164,r,e,None
4,さ,1.0,164,s,a,None
4,あ,1.0,164,None,a,None
4,ね,1.5,164,n,e,None
4,ふ,1.5,164,f,u,None
4,し,0.5,164,sh,i,None
4,も,0.5,164,m,o,None
4,ん,0.5,164,None,None,N
4,に,0.5,164,n,i,None
4,ん,0.5,164,None,None,N
4,しょ,0.5,164,sh,o,None
4,う,0.5,164,None,u,None
4,ふ,0.5,164,f,u,None
4,れ,0.5,164,r,e,None
4,ら,1.0,164,r,a,None
4,れ,1.0,164,r,e,None
4,た,1.0,164,t,a,None
4,ら,2.0,164,r,a,None
4,ど,1.0,164,d,o,None
4,き,1.0,164,k,i,None
4,ど,1.5,164,d,o,None
4,き,1.5,164,k,i,None
4,き,0.5,164,k,i,None
4,ほ,0.5,164,h,o,None
4,ん,0.5,164,None,None,N
4,せ,0.5,164,s,e,None
4,っ,0.5,164,None,None,cl
4,て,0.5,164,t,e,None
4,い,0.5,164,None,i,None
4,ご,0.5,164,g,o,None
4,よ,0.5,164,y,o,None
4,う,0.5,164,None,u,None
4,わ,0.5,164,w,a,None
4,な,1.0,164,n,a,None
4,あ,1.0,164,None,a,None
4,に,2.0,164,n,i,None
4,だ,1.0,164,d,a,None
4,あ,1.0,164,None,a,None
4,り,0.75,164,r,i,None
4,ん,0.75,164,None,None,N
4,に,0.25,164,n,i,None
4,ん,0.25,164,None,None,N
4,む,1.0,164,m,u,None
4,す,0.5,164,s,u,None
4,い,0.5,164,None,i,None
4,こ,0.5,164,k,o,None
4,う,0.5,164,None,u,None
4,の,0.5,164,n,o,None
4,ぞ,0.5,164,z,o,None
4,む,1.0,164,m,u,None
4,ま,1.0,164,m,a,None
4,ま,1.0,164,m,a,None
4,に,1.0,164,n,i,None
4,お,1.0,164,None,o,None
4,き,1.0,164,k,i,None
4,ど,1.5,164,d,o,None
4,き,1.5,164,k,i,None
4,ぶ,0.5,164,b,u,None
4,れ,0.5,164,r,e,None
4,ざ,1.0,164,z,a,None
4,お,0.5,164,None,o,None
4,あ,0.5,164,None,a,None
4,せ,0.5,164,s,e,None
4,え,1.0,164,None,e,None
4,ら,0.5,164,r,a,None
4,あ,0.5,164,None,a,None
4,ふ,0.5,164,f,u,None
4,く,1.0,164,k,u,None
4,あ,0.5,164,None,a,None
4,わ,0.5,164,w,a,None
4,せ,1.0,164,s,e,None
4,る,0.5,164,r,u,None
4,な,0.5,164,n,a,None
4,ら,0.5,164,r,a,None
4,は,0.5,164,w,a,None
4,い,0.5,164,None,i,None
4,そ,0.5,164,s,o,None
4,お,0.5,164,None,o,None
4,あ,0.5,164,None,a,None
4,に,1.0,164,n,i,None
4,そ,1.0,164,s,o,None
4,ど,0.5,164,d,o,None
4,っ,0.5,164,None,None,cl
4,ち,1.0,164,ch,i,None
4,こ,0.5,164,k,o,None
4,っ,0.5,164,None,None,cl
4,ち,0.5,164,ch,i,None
4,ゆ,1.5,164,y,u,None
4,う,1.0,164,None,u,None
4,じゅ,1.0,164,j,u,None
4,う,1.0,164,None,u,None
4,ふ,0.5,164,f,u,None
4,だ,0.5,164,d,a,None
4,ん,0.5,164,None,None,N
4,で,0.5,164,d,e,None
4,も,1.0,164,m,o,None
4,い,1.0,164,None,i,None
4,じゃ,1.5,164,j,a,None
4,ん,1.5,164,None,None,N
4,あ,1.5,164,None,a,None
4,い,1.5,164,None,i,None
4,ど,1.0,164,d,o,None
4,ろ,1.5,164,r,o,None
4,い,1.5,164,None,i,None
4,ど,1.0,164,d,o,None
4,な,1.0,164,n,a,None
4,ん,1.0,164,None,None,N
4,か,1.0,164,k,a,None
4,ら,1.0,164,r,a,None
4,ぶ,0.5,164,b,u,None
4,っ,0.5,164,None,None,cl
4,ぽ,0.5,164,p,o,None
4,い,0.5,164,None,i,None
4,ぞ,2.0,164,z,o,None
4,と,0.5,164,t,o,None
4,び,0.5,164,b,i,None
4,き,0.5,164,k,i,None
4,り,0.5,164,r,i,None
4,ゆ,0.5,164,y,u,None
4,び,0.5,164,b,i,None
4,き,0.5,164,k,i,None
4,り,0.5,164,r,i,None
4,ふ,1.0,164,f,u,None
4,た,0.5,164,t,a,None
4,り,1.5,164,r,i,None
4,き,1.0,164,k,i,None
4,り,1.0,164,r,i,None
4,も,1.5,164,m,o,None
4,こ,1.0,164,k,o,None
4,れ,1.5,164,r,e,None
4,っ,0.25,164,None,None,cl
4,き,0.25,164,k,i,None
4,り,2.0,164,r,i,None
4,あ,1.5,164,None,a,None
4,い,1.5,164,None,i,None
4,も,1.0,164,m,o,None
4,こ,1.5,164,k,o,None
4,い,1.5,164,None,i,None
4,も,1.0,164,m,o,None
4,そ,1.0,164,s,o,None
4,の,1.0,164,n,o,None
4,さ,1.0,164,s,a,None
4,き,1.0,164,k,i,None
4,も,1.0,164,m,o,None
4,も,0.5,164,m,o,None
4,っ,0.5,164,None,None,cl
4,と,2.0,164,t,o,None
4,な,0.5,164,n,a,None
4,ん,0.5,164,None,None,N
4,で,0.5,164,d,e,None
4,も,0.5,164,m,o,None
4,か,0.5,164,k,a,None
4,ん,0.5,164,None,None,N
4,で,0.5,164,d,e,None
4,も,0.5,164,m,o,None
4,お,1.0,164,None,o,None
4,し,0.5,164,sh,i,None
4,え,1.5,164,None,e,None
4,て,1.0,164,t,e,None
4,よ,1.0,164,y,o,None
4,ね,1.5,164,n,e,None
4,い,1.0,164,None,i,None
4,い,1.5,164,None,i,None
4,ん,0.25,164,None,None,N
4,で,0.25,164,d,e,None
4,しょ,2.0,164,sh,o,None
4,な,1.0,164,n,a,None
4,や,1.0,164,y,a,None
4,ん,0.5,164,None,None,N
4,で,0.5,164,d,e,None
4,も,0.5,164,m,o,None
4,そ,1.0,164,s,o,None
4,く,0.5,164,k,u,None
4,ど,0.5,164,d,o,None
4,ん,0.5,164,None,None,N
4,ま,0.5,164,m,a,None
4,い,0.5,164,None,i,None
4,し,0.5,164,sh,i,None
4,っ,0.5,164,None,None,cl
4,ぱ,0.5,164,p,a,None
4,い,0.5,164,None,i,None
4,し,0.5,164,sh,i,None
4,て,0.5,164,t,e,None
4,も,0.5,164,m,o,None
4,け,0.5,164,k,e,None
4,っ,0.5,164,None,None,cl
4,か,0.5,164,k,a,None
4,お,1.0,164,None,o,None
4,ら,0.5,164,r,a,None
4,い,0.5,164,None,i,None
4,あ,1.5,164,None,a,None
4,な,1.5,164,n,a,None
4,た,1.0,164,t,a,None
4,が,1.5,164,g,a,None
4,つ,1.5,164,ts,u,None
4,く,1.0,164,k,u,None
4,る,3.0,164,r,u,None
4,わ,0.5,164,w,a,None
4,た,0.5,164,t,a,None
4,し,0.5,164,sh,i,None
4,あ,0.5,164,None,a,None
4,い,1.0,164,None,i,None
4,ど,1.0,164,d,o,None
4,ろ,0.75,164,r,o,None
4,い,0.75,164,None,i,None
